site_ID,pressure_zone_name,pressure_zone_elevation,connections_count,location_description,lat,lng,frequency_sampled
291 SYS,Scripps Mesa,892,46,Nob Hill Condos (10815),32.9159638888889,-117.108811111111,Monthly
214 SYS,Tierrasanta Norte,900,503,4711 Seda Dr; (Between Via Dominique & Renovo Way),32.8260666666667,-117.078097222222,Weekly
242 SYS,Climax,910,1138,7260 Barker Way,32.8132388888889,-117.017769444444,Weekly
233 SYS,Carmel Mall,920,2379,12119 World Trade Dr @ a Fire Station,32.9831416666667,-117.073686111111,Weekly
236 SYS,Carmel Mall,920,2379,15022 Avenida Venusto,32.9916694444444,-117.067813888889,Weekly
68 SYS,Penasquitos,920,3158,Oviedo st & Black Mtn Rd,32.9688666666667,-117.128072222222,Weekly
234A SYS,Penasquitos,920,3164,14300 Block Cuca St. ,32.9740027777778,-117.095880555556,Weekly
235 SYS,Pomerado Park,920,1954,15855 Turtleback Rd,33.0053222222222,-117.08775,Weekly
243 SYS,Country Casual,925,162,8709 Lake Athabaska Way,32.7991611111111,-117.010058333333,Weekly
218 SYS,La Jolla Soledad W,925,504,2110 Via Casa Alta @ a Fire Station,32.8390166666667,-117.250430555556,Weekly
323 SYS,Stockwood,925,28,11469 Stonecroft Terrace,32.9241972222222,-117.041991666667,Monthly
262 SYS,San Carlos Estates,930,603,6669 Linda Lane,32.7845888888889,-117.052866666667,Weekly
246 SYS,Eagle Ridge,940,78,7928 Wing Span Dr,32.8068472222222,-117.02845,Monthly
326 SYS,Santa Luz,950,33,8555 1/2 Run of the Knolls Rd,32.9905722222222,-117.136197222222,Monthly
313 SYS,Bernardo Heights,1020,1175,11602 Calle Paracho,33.0009833333333,-117.079180555556,Weekly
224 SYS,Scripps Ranch (229),1020,3723,10054 Avenida Magnifica @ Public School,32.9075388888889,-117.084161111111,Weekly
325 SYS,Scripps Ranch (229),1020,3882,Old Creek Rd and Whispering Ridge,32.9244916666667,-117.031655555556,Weekly
318A SYS,Scripps Ranch (5),1020,96,Across from 11810 Trail Crest Dr,32.9319444444444,-117.104627777778,Monthly
225 SYS,Sycamore Hills,1050,320,10314 Rue Chantemar,32.9062,-117.064952777778,Weekly
316 SYS,Golf Course (11),1130,131,13705 Shoal Summit Dr,32.9657833333333,-117.076255555556,Weekly
290 SYS,Golf Course (5),1130,36,14254 Breezeway Place Silver sample stanchion,32.9761583333333,-117.077663888889,Monthly
329 SYS,Stonebridge,1135,129,14644 1/2 Old Creek Rd,32.9256805555556,-117.025783333333,Weekly
283 SYS,Miramar Boosted,1150,769,Scripps Ranch wy & Spencerport (SW corner),32.9238,-117.099752777778,Weekly
331 SYS,Scripps Ranch Boosted,1150,829,Across from 11705 Semillon Blvd.,32.9222694444444,-117.07655,Weekly
226 SYS,Scripps Hills,1200,208,Meadowdale Lane & Walnutdale St,32.907125,-117.061513888889,Weekly
328 SYS,Sycamore Estates,1250,112,14800 Stone Bridge Pkwy,32.9256638888889,-117.0201,Weekly
319 SYS,Otay Mesa,N/A,,"1500 Wueste Rd, Chula Vista CA",32.6082861111111,-116.932341666667,Daily
